nombre_empresa;pais;opera_otrospaises;sector_empresa;numero_empleados;infraestructura_critica;activos_criticos;pilares_prioritarios;actor_amenaza;incidente_sufrido;pilar_critico;sistemas_operativos;despliegue_sistemas;centros_datos;segmentacion_red;vpn;firewall;monitorizacion_red;balanceadores;antiphishing;edr;actualizaciones;frecuencia_actualizaciones;autenticacion;politica_contraseñas;iam;revocacion;backups;evento_amenaza
IndustriaSoluciones_EST54;Estonia;No;Industria / Manufactura;Más de 1000;No;Infraestructura TIC (Hardware), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, intencionado);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Nube pública (AWS, Azure, GCP);1;Sí, completa;Opcional;No;Sí, parcialmente;Sí;Sí;Solo antivirus básico;No;Más de un mes;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;No aplican;DDoS
IndustriaSoluciones_ESL55;Eslovaquia;No;Industria química;Más de 1000;Sí;Sistemas de Control Industrial (ICS/SCADA), Aplicaciones informáticas (Software), Datos / Información sensible;Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Ubuntu 22;Nube privada;1;No;No;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;Semanales;Fraude
InfraestructuraSoluciones_EST56;Estonia;Sí;Infraestructura digital;Menos de 50;Sí;Servicios en la nube, Infraestructura TIC (Hardware), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;Debian 12;Nube privada;2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
OverSoluciones_CRO57;Croacia;No;Infraestructura digital;Más de 1000;Sí;Infraestructura TIC (Hardware),Sistemas de Control Industrial (ICS/SCADA), Redes de comunicaciones;Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Windows 11;Nube privada;Más de 2;No;Sí, obligatoria;Sí;Sí, parcialmente;Sí;No;Sí, EDR;Sí;Mensualmente;No;Sí, obligatoria;Ninguna;No;No aplican;Destrucción física
SaludSoluciones_AUS58;Austria;Sí;Salud;Menos de 50;Sí;Sistemas de Control Industrial (ICS/SCADA), Infraestructura TIC (Hardware), Servicios en la nube;Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Fedora 42;Nube pública (AWS, Azure, GCP);1;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
SectorSoluciones_SUE59;Suecia;Sí;Sector espacial;Menos de 50;Sí;Aplicaciones informáticas (Software), Redes de comunicaciones;Integridad, Confidencialidad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Windows 11;Nube privada;Más de 2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Fraude
ServiciosSoluciones_LUX60;Luxemburgo;Sí;Servicios empresariales;50 - 1000;No;Aplicaciones informáticas (Software), Redes de comunicaciones, Infraestructura TIC (Hardware);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Local (On-premise);1;Parcial;Opcional;No;No;No;Sí;Solo antivirus básico;No;No se revisa si existen nuevas actualizaciones;Solo sistemas críticos;Sí, obligatoria;Ninguna;Sí;Diarias;DDoS
ServiciosSoluciones_REP61;República Checa;No;Servicios postales / Mensajería;50 - 1000;Sí;Aplicaciones informáticas (Software), Infraestructura TIC (Hardware), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Nube pública (AWS, Azure, GCP);1;Sí, completa;Opcional;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;No;Mensualmente;Todos los accesos;Sí, obligatoria;Ninguna;Sí;Semanales;DDoS
TurnSoluciones_PTG62;Portugal;No;Alimentación;Menos de 50;Sí;Infraestructura TIC (Hardware);Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Local (On-premise);2;No;Opcional;Sí;Sí, de forma continua;No;No;Sí, EDR;Sí;No se revisa si existen nuevas actualizaciones;Solo sistemas críticos;Sí, obligatoria;Ninguna;No;Diarias;Destrucción física
AdministraciónSoluciones_HUN63;Hungría;Sí;Administración pública;Menos de 50;Sí;Datos / Información sensible, Aplicaciones informáticas (Software), Servicios en la nube;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 11;Híbrido;2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Fraude
AguaSoluciones_BUL64;Bulgaria;Sí;Agua potable;50 - 1000;Sí;Sistemas de Control Industrial (ICS/SCADA), Redes de comunicaciones, Servicios en la nube;Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;Ubuntu 25;Nube privada;2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
AlimentaciónSoluciones_FIN65;Finlandia;Sí;Alimentación;Menos de 50;Sí;Servicios en la nube, Sistemas de Control Industrial (ICS/SCADA);Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Windows 11;Nube privada;2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Fraude
AguasSoluciones_LET66;Letonia;No;Aguas residuales;Menos de 50;Sí;Servicios en la nube, Redes de comunicaciones, Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 14;Híbrido;1;Sí, completa;Opcional;Sí;Sí, parcialmente;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
BancaSoluciones_FIN67;Finlandia;Sí;Banca / Finanzas;50 - 1000;Sí;Datos / Información sensible, Servicios en la nube, Datos personales;Confidencialidad, Integridad, Disponibilidad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Debian 12;Local (On-premise);Más de 2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Brecha de datos
ComercioSoluciones_BUL68;Bulgaria;No;Comercio minorista;50 - 1000;No;Infraestructura TIC(Hardware) Servicios en la nube, Aplicaciones informáticas (Software);Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;Windows 8;Híbrido;1;No;No;Sí;Sí, de forma continua;Sí;No;Solo antivirus básico;Sí;Mensualmente;No;Sí, obligatoria;Ninguna;No;No aplican;Ransomware
DefensaSoluciones_RUM69;Rumanía;Sí;Defensa;Más de 1000;Sí;Aplicaciones informáticas (Software), Infraestructura TIC (Hardware), Servicios en la nube;Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Nube privada;2;No;No;Sí;Sí, parcialmente;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;Diarias;DDoS
EducaciónSoluciones_POR70;Portugal;Sí;Educación;Más de 1000;No;Datos / Información sensible, Datos personales;Confidencialidad, Disponibilidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 11;Nube pública (AWS, Azure, GCP);1;No;No;Sí;Sí, parcialmente;Sí;Sí;Sí, EDR;Sí;Con frecuencia;No;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;Fraude
EnergíaSoluciones_RUM71;Rumanía;Sí;Energía;50 - 1000;Sí;Infraestructura TIC (Hardware), Redes de comunicaciones;Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Fedora 42;Nube privada;2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
GestiónSoluciones_PAÍ72;Países Bajos;Sí;Gestión de residuos;Menos de 50;No;Servicios en la nube, Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Confidencialidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 10;Nube privada;1;Parcial;Opcional;No;Sí, parcialmente;No;No;Sí, EDR;No;No se revisa si existen nuevas actualizaciones;Todos los accesos;Sí, obligatoria;Ninguna;Sí;Semanales;DDoS
GestiónSoluciones_ITA73;Italia;No;Gestión de servicios;50 - 1000;No;Servicios en la nube, Datos / Información sensible, Infraestructura TIC (Hardware);Confidencialidad, Disponibilidad, Integridad;Empleado con privilegios (interno, accidental);Ataques contra la confidencialidad;Confidencialidad;macOS 13;Híbrido;1;No;Opcional;Sí;No;Sí;Sí;Sí, EDR;No;No se revisa si existen nuevas actualizaciones;No;Sí, obligatoria;Azure AD / Okta / LDAP;No;No aplican;Brecha de datos
TicSoluciones_MAL74;Malta;No;TIC;50 - 1000;Sí;Infraestructura TIC (Hardware), Servicios en la nube;Disponibilidad, Confidencialidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;macOS 14;Nube pública (AWS, Azure, GCP);1;Sí, completa;No;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
IndustriaSoluciones_FIN75;Finlandia;No;Industria / Manufactura;Más de 1000;No;Sistemas de Control Industrial (ICS/SCADA), Redes de comunicaciones, Infraestructura TIC (Hardware);Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube privada;1;Sí, completa;Sí, obligatoria;No;Sí, de forma continua;No;No;Solo antivirus básico;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Ninguna;Sí;Semanales;DDoS
IndustriaSoluciones_LUX76;Luxemburgo;No;Industria química;Más de 1000;Sí;Servicios en la nube, Redes de comunicaciones, Infraestructura TIC (Hardware);Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube privada;1;No;Sí, obligatoria;Sí;Sí, parcialmente;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
InfraestructuraSoluciones_FRA77;Francia;Sí;Infraestructura digital;Menos de 50;Sí;Aplicaciones informáticas (Software), Redes de comunicaciones, Infraestructura TIC (Hardware);Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube privada;2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
MediosSoluciones_DIN78;Dinamarca;No;Medios / Entretenimiento;50 - 1000;No;Redes de comunicaciones, Aplicaciones informáticas (Software);Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, intencionado);Ataques contra la disponibilidad;Disponibilidad;macOS 14;Híbrido;1;Parcial;Opcional;Sí;Sí, de forma continua;Sí;No;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Solución propia;Sí;Semanales;DDoS
SaludSoluciones_LET79;Letonia;Sí;Salud;Menos de 50;Sí;Datos personales, Datos / Información sensible;Confidencialidad, Disponibilidad, Integridad;Empleado con privilegios (interno, accidental);Ataques contra la confidencialidad;Confidencialidad;macOS 15;Nube pública (AWS, Azure, GCP);2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Brecha de datos
SectorSoluciones_BÉL80;Bélgica;Sí;Sector espacial;Menos de 50;Sí;Redes de comunicaciones, Datos personales, Datos / Información sensible;Integridad, Confidencialidad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;macOS 15;Híbrido;1;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
ServiciosSoluciones_LUX81;Luxemburgo;No;Servicios empresariales;50 - 1000;No;Datos personales, Datos / Información sensible;Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Ubuntu 25;Local (On-premise);1;Parcial;Opcional;No;Sí, parcialmente;Sí;No;Solo antivirus básico;No;No se revisa si existen nuevas actualizaciones;No;Sí, obligatoria;Solución propia;No;No aplican;Brecha de datos
ServiciosSoluciones_POL82;Polonia;Sí;Servicios postales / Mensajería;50 - 1000;Sí;Sistemas de Control Industrial (ICS/SCADA), Aplicaciones informáticas (Software);Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Ubuntu 25;Híbrido;Más de 2;Sí, completa;Opcional;Sí;Sí, parcialmente;Sí;Sí;No;Sí;Semanales;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;Semanales;DDoS
TransporteSoluciones_CHI83;Chipre;Sí;Transporte;Menos de 50;Sí;Infraestructura TIC (Hardware), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Local (On-premise);2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
AdministraciónSoluciones_LIT84;Lituania;Sí;Administración pública;Menos de 50;Sí;Datos / Información sensible, Redes de comunicaciones, Aplicaciones informáticas (Software);Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;Debian 12;Híbrido;1;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Brecha de datos
AguaSoluciones_ESL85;Eslovenia;Sí;Agua potable;50 - 1000;Sí;Sistemas de Control Industrial (ICS/SCADA), Aplicaciones informáticas (Software);Disponibilidad, Integridad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Local (On-premise);2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
AlimentaciónSoluciones_ITA86;Italia;Sí;Alimentación;Menos de 50;Sí;Redes de comunicaciones, Datos / Información sensible, Aplicaciones informáticas (Software);Integridad, Disponibilidad, Confidencialidad;Empleado con privilegios (interno, accidental);Ataques contra la integridad;Integridad;Debian 12;Nube privada;1;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Fraude
AguasSoluciones_BUL87;Bulgaria;No;Aguas residuales;Menos de 50;Sí;Infraestructura TIC (Hardware), Aplicaciones informáticas (Software);Disponibilidad, Confidencialidad, Integridad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 13;Híbrido;2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;No;Solo antivirus básico;No;Más de un mes;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;Semanales;DDoS
BancaSoluciones_MAL88;Malta;Sí;Banca / Finanzas;50 - 1000;Sí;Infraestructura TIC (Hardware), Redes de comunicaciones;Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Ubuntu 25;Nube pública (AWS, Azure, GCP);1;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
ComercioSoluciones_ITA89;Italia;No;Comercio minorista;50 - 1000;No;Aplicaciones informáticas (Software), Servicios en la nube;Disponibilidad, Confidencialidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Fedora 42;Local (On-premise);1;Parcial;No;Sí;No;Sí;Sí;Sí, EDR;No;No se revisa si existen nuevas actualizaciones;No;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Semanales;DDoS
DefensaSoluciones_IRL90;Irlanda;Sí;Defensa;Más de 1000;Sí;Sistemas de Control Industrial (ICS/SCADA), Servicios en la nube;Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Debian 12;Híbrido;1;No;No;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Solución propia;No;Semanales;DDoS
EducaciónSoluciones_CHI91;Chipre;No;Educación;Más de 1000;No;Datos / Información sensible, Aplicaciones informáticas (Software);Confidencialidad, Integridad, Disponibilidad;Empleado con privilegios (interno, intencionado);Ataques contra la confidencialidad;Confidencialidad;Windows 8;Híbrido;2;Parcial;Opcional;Sí;Sí, parcialmente;Sí;Sí;No;No;Mensualmente;Todos los accesos;Sí, obligatoria;Ninguna;No;Semanales;Brecha de datos
EnergíaSoluciones_HUN92;Hungría;Sí;Energía;50 - 1000;Sí;Aplicaciones informáticas (Software), Sistemas de Control Industrial (ICS/SCADA), Infraestructura TIC (Hardware);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Debian 10;Local (On-premise);2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
GestiónSoluciones_ITA93;Italia;No;Gestión de residuos;Menos de 50;No;Aplicaciones informáticas (Software), Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Empleado con privilegios (interno, accidental);Ataques contra la disponibilidad;Disponibilidad;Windows XP;Nube pública (AWS, Azure, GCP);1;Sí, completa;Sí, obligatoria;No;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Ninguna;Sí;Diarias;DDoS
AgainSoluciones_EST94;Estonia;Sí;Aguas residuales;Más de 1000;Sí;Sistemas de Control Industrial (ICS/SCADA), Infraestructura TIC (Hardware), Redes de comunicaciones;Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Debian 12;Local (On-premise);2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;No;Diarias;Destrucción física
FieldSoluciones_IRL95;Irlanda;No;Transporte;50 - 1000;Sí;Infraestructura TIC (Hardware);Disponibilidad, Integridad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Fedora 42;Híbrido;Más de 2;Parcial;Sí, obligatoria;Sí;Sí, parcialmente;No;No;Sí, EDR;No;Diarias;Solo sistemas críticos;Sí, obligatoria;Ninguna;Sí;Semanales;Destrucción física
SpaceSoluciones_BEL96;Bélgica;Sí;TIC;50 - 1000;Sí;Infraestructura TIC (Hardware),Sistemas de Control Industrial (ICS/SCADA), Redes de comunicaciones;Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Windows 10;Local (On-premise);Más de 2;No;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Solo sistemas críticos;Sí, obligatoria;Solución propia;Sí;Semanales;Destrucción física
IndustriaSoluciones_FRA97;Francia;Sí;Industria química;Más de 1000;Sí;Servicios en la nube, Infraestructura TIC (Hardware), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Debian 12;Nube privada;2;No;No;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Solución propia;Sí;Diarias;DDoS
InfraestructuraSoluciones_RUM98;Rumanía;Sí;Infraestructura digital;Menos de 50;Sí;Sistemas de Control Industrial (ICS/SCADA), Redes de comunicaciones;Disponibilidad, Confidencialidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Local (On-premise);2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Sí, EDR;Sí;Con frecuencia;Todos los accesos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;DDoS
MediosSoluciones_RUM99;Rumanía;No;Medios / Entretenimiento;50 - 1000;No;Infraestructura TIC (Hardware),Sistemas de Control Industrial (ICS/SCADA), Redes de comunicaciones;Disponibilidad, Confidencialidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Híbrido;2;Parcial;Opcional;No;No;No;No;Solo antivirus básico;Sí;Con frecuencia;No;Sí, obligatoria;Ninguna;Sí;Semanales;DDoS
SitSoluciones_BEL100;Bélgica;Sí;Servicios postales / Mensajería;Más de 1000;No;Infraestructura TIC (Hardware);Disponibilidad, Confidencialidad, Integridad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;Windows 10;Nube privada;Más de 2;No;No;Sí;Sí, de forma continua;No;No;Solo antivirus básico;No;No se revisa si existen nuevas actualizaciones;Todos los accesos;Sí, obligatoria;Ninguna;Sí;No aplican;Destrucción física
FullSoluciones_BUL102;Bulgaria;Sí;Energía;Más de 1000;Sí;Infraestructura TIC (Hardware);Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Fedora 42;Nube privada;1;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;No;Sí;Solo antivirus básico;Sí;Mensualmente;No;Sí, obligatoria;Ninguna;Sí;Semanales;Destrucción física
StopSoluciones_REP103;República Checa;Sí;Comercio minorista;Menos de 50;No;Sistemas de Control Industrial (ICS/SCADA);Integridad, Disponibilidad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la integridad;Integridad;Debian 12;Híbrido;2;Sí, completa;Sí, obligatoria;No;Sí, parcialmente;Sí;No;Solo antivirus básico;No;Más de un mes;No;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Mensualmente;Destrucción física
MediosSoluciones_FIN104;Finlandia;No;Medios / Entretenimiento;50 - 1000;No;Aplicaciones informáticas (Software), Infraestructura TIC (Hardware), Redes de comunicaciones;Disponibilidad, Integridad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube pública (AWS, Azure, GCP);1;Parcial;Sí, obligatoria;No;Sí, parcialmente;No;Sí;Sí, EDR;No;No se revisa si existen nuevas actualizaciones;Solo sistemas críticos;Sí, obligatoria;Ninguna;Sí;No aplican;Ransomware
WaterSoluciones_ESP105;España;Sí;Aguas residuales;50 - 1000;Sí;Infraestructura TIC (Hardware);Disponibilidad, Confidencialidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 10;Híbrido;2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;Sí;Sí;Solo antivirus básico;No;Mensualmente;Todos los accesos;Sí, obligatoria;Ninguna;No;Diarias;Destrucción física
RememberSoluciones_BEL106;Bélgica;Sí;Defensa;Más de 1000;Sí;Infraestructura TIC (Hardware);Disponibilidad, Integridad, Confidencialidad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 10;Local (On-premise);Más de 2;Sí, completa;Sí, obligatoria;Sí;Sí, de forma continua;No;No;Sí, EDR;No;Semanales;Solo sistemas críticos;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;No aplican;Destrucción física
WearSoluciones_BUL107;Bulgaria;Sí;Aguas residuales;Menos de 50;Sí;Infraestructura TIC (Hardware);Disponibilidad, Confidencialidad, Integridad;Cibercriminal (externo, intencionado);Ataques contra la disponibilidad;Disponibilidad;Windows 11;Nube privada;1;No;Sí, obligatoria;Sí;Sí, parcialmente;No;No;Sí, EDR;No;No se revisa si existen nuevas actualizaciones;No;Sí, obligatoria;Azure AD / Okta / LDAP;Sí;Diarias;Ransomware
NewspaperSoluciones_MAL108;Malta;No;Infraestructura digital;50 - 1000;Sí;Sistemas de Control Industrial (ICS/SCADA);Disponibilidad, Integridad, Confidencialidad;Factor meteorológico adverso (externo, accidental);Ataques contra la disponibilidad;Disponibilidad;macOS 15;Nube privada;2;Parcial;Sí, obligatoria;Sí;Sí, de forma continua;No;No;Solo antivirus básico;Sí;Mensualmente;Solo sistemas críticos;Sí, obligatoria;Ninguna;No;Semanales;Destrucción física
DefensaSoluciones_BÉL109;Bélgica;Sí;Defensa;Más de 1000;Sí;Datos personales, Datos / Información sensible, Sistemas de Control Industrial (ICS/SCADA);Confidencialidad, Integridad, Disponibilidad;Cibercriminal (externo, intencionado);Ataques contra la confidencialidad;Confidencialidad;macOS 15;Nube pública (AWS, Azure, GCP);2;Sí, completa;No;Sí;Sí, parcialmente;Sí;Sí;Sí, EDR;Sí;Mensualmente;Todos los accesos;Sí, obligatoria;Solución propia;No;Diarias;Brecha de datos
